#,Main Category,Sub Category,ConedaKOR,LinkedDataHub,Metaphacts Community,Omeka S,ResearchSpace,Vitro,Wikibase,WissKI,,,,,,,,,,,,,,,
1,Official website,,https://github.com/coneda/kor,https://atomgraph.github.io/LinkedDataHub/,https://bitbucket.org/metaphacts/metaphacts-community,https://omeka.org/s/,https://github.com/researchspace/researchspace,https://vivo.lyrasis.org/vitro/,https://wikiba.se/,http://wiss-ki.eu,,,,,,,,,,,,,,,
,,Data values,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,Version control,Entity level,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Ontology level,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,User access control on the entity/fact level,,,Bi-directional,No,One-directional,,,One-directional,Bi-directional,,,,,,,,,,,,,,,
29,Access rights settings,,Full granularity of access,Full granularity of access,Limited number of access tiers,Full granularity of access,Full granularity of access,Limited number of access tiers,Limited number of access tiers,Full granularity of access,,,,,,,,,,,,,,,
30,Media integrations,Audio,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Image,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Video,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,3D,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Remote,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Maps,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,Other (please add),,,,,,,,"Code Highlighting, Mathematics/ Functions",,,,,,,,,,,,,,,
31,Data visualization,,None,Build-in,Build-in,Via extensions,Build-in,,Build-in,Via extensions,,,,,,,,,,,,,,,
32,Data analysis,,None,Via extensions,Built-in,Via extensions,Built-in,,Via extensions,Via extensions,,,,,,,,,,,,,,,
33,Third-party tools and libraries,,Mature,Few or outdated,Few or outdated,Mature,,Few or outdated,Mature,Mature,,,,,,,,,,,,,,,
34,Scalability,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,
